product_id,product_code,category,unit_price,is_active
132,P0132,Ruházat,13172,True
133,P0133,Higiénia,1743,True
134,P0134,Ital,1153,True
135,P0135,Ruházat,44672,True
136,P0136,Ital,2842,True
137,P0137,Papír-írószer,483,True
138,P0138,Háztartás,1483,False
139,P0139,Élelmiszer,1443,True
140,P0140,Elektronika,78003,True
141,P0141,Ruházat,45204,True
142,P0142,Élelmiszer,139,True
143,P0143,Élelmiszer,587,True
144,P0144,Higiénia,2924,True
145,P0145,Ital,2655,True
146,P0146,Higiénia,4607,True
147,P0147,Ital,1893,True
148,P0148,Elektronika,72702,True
149,P0149,Ital,985,True
150,P0150,Ruházat,19716,True
151,P0151,Elektronika,31246,True
152,P0152,Háztartás,8303,True
153,P0153,Ital,1157,True
154,P0154,Ital,1239,True
155,P0155,Elektronika,19574,True
156,P0156,Ruházat,12016,False
157,P0157,Higiénia,4034,True
158,P0158,Elektronika,90593,True
159,P0159,Ital,2937,False
160,P0160,Háztartás,10137,True
161,P0161,Elektronika,54814,True
162,P0162,Háztartás,1816,True
163,P0163,Elektronika,96007,True
164,P0164,Papír-írószer,104,True
165,P0165,Élelmiszer,4170,True
166,P0166,Elektronika,69583,True
167,P0167,Ruházat,9835,True
168,P0168,Elektronika,53443,True
169,P0169,Papír-írószer,2666,False
170,P0170,Ruházat,39858,True
171,P0171,Ruházat,15997,False
172,P0172,Papír-írószer,4112,True
173,P0173,Higiénia,1145,True
174,P0174,Papír-írószer,1748,True
175,P0175,Háztartás,1251,True
176,P0176,Ital,898,True
177,P0177,Élelmiszer,3939,True
178,P0178,Élelmiszer,297,True
179,P0179,Ital,1547,True
180,P0180,Elektronika,93185,True
181,P0181,Elektronika,45062,True
182,P0182,Elektronika,11749,True
183,P0183,Papír-írószer,3608,True
184,P0184,Higiénia,3952,True
185,P0185,Élelmiszer,3726,True
186,P0186,Papír-írószer,1534,True
187,P0187,Ruházat,9552,True
188,P0188,Ital,906,True
189,P0189,Elektronika,90474,True
190,P0190,Ruházat,43122,True
191,P0191,Élelmiszer,3261,True
192,P0192,Ruházat,31953,False
193,P0193,Higiénia,1224,True
194,P0194,Ruházat,18344,True
195,P0195,Ital,2766,True
196,P0196,Élelmiszer,876,True
197,P0197,Elektronika,44462,False
198,P0198,Papír-írószer,1713,True
199,P0199,Papír-írószer,2692,True
200,P0200,Higiénia,8720,True
201,P0201,Élelmiszer,1880,True
202,P0202,Higiénia,4161,True
203,P0203,Élelmiszer,3858,False
204,P0204,Háztartás,13165,True
205,P0205,Papír-írószer,4514,True
206,P0206,Ital,2845,True
207,P0207,Higiénia,1183,True
208,P0208,Ital,2854,True
209,P0209,Ruházat,31861,True
210,P0210,Élelmiszer,2080,False
211,P0211,Ital,1103,True
212,P0212,Elektronika,45223,False
213,P0213,Ital,1201,True
214,P0214,Elektronika,44805,True
215,P0215,Elektronika,89111,True
216,P0216,Élelmiszer,1540,True
217,P0217,Ital,2120,True
218,P0218,Elektronika,54595,True
219,P0219,Higiénia,559,True
220,P0220,Háztartás,11014,False
221,P0221,Ital,2621,True
222,P0222,Higiénia,9824,True
223,P0223,Elektronika,70907,True
224,P0224,Háztartás,12871,True
225,P0225,Ital,931,True
226,P0226,Háztartás,9029,True
227,P0227,Élelmiszer,1065,True
228,P0228,Ruházat,18425,True
229,P0229,Elektronika,62254,False
230,P0230,Ital,2327,True
231,P0231,Háztartás,12648,True
232,P0232,Elektronika,25911,True
233,P0233,Elektronika,20233,True
234,P0234,Papír-írószer,3750,True
235,P0235,Elektronika,67839,True
236,P0236,Ruházat,35673,True
237,P0237,Ruházat,21799,True
238,P0238,Ital,1514,True
239,P0239,Élelmiszer,1780,True
240,P0240,Ruházat,24477,True
241,P0241,Ital,821,True
242,P0242,Ital,1951,True
243,P0243,Papír-írószer,2861,True
244,P0244,Papír-írószer,4939,True
245,P0245,Háztartás,9627,False
246,P0246,Ruházat,23152,False
247,P0247,Papír-írószer,541,False
248,P0248,Elektronika,73371,True
249,P0249,Papír-írószer,1847,True
250,P0250,Ruházat,49163,True
251,P0251,Ital,2659,True
252,P0252,Elektronika,81120,True
253,P0253,Ruházat,13756,False
254,P0254,Higiénia,3907,True
255,P0255,Higiénia,4369,False
256,P0256,Ital,473,True
257,P0257,Ruházat,8532,True
258,P0258,Élelmiszer,855,False
259,P0259,Élelmiszer,4578,False
260,P0260,Papír-írószer,4405,True
261,P0261,Háztartás,7254,True
262,P0262,Higiénia,5074,True
263,P0263,Ruházat,48083,True
264,P0264,Elektronika,36922,False
265,P0265,Elektronika,38015,True
266,P0266,Elektronika,64653,True
267,P0267,Elektronika,45438,True
268,P0268,Ruházat,31851,True
269,P0269,Élelmiszer,3133,True
270,P0270,Ital,1971,True
271,P0271,Ital,1279,True
272,P0272,Elektronika,79990,True
273,P0273,Ital,2121,False
274,P0274,Élelmiszer,4446,True
275,P0275,Papír-írószer,3814,True
276,P0276,Háztartás,8287,True
277,P0277,Higiénia,5088,True
278,P0278,Elektronika,81804,True
279,P0279,Élelmiszer,977,True
280,P0280,Háztartás,2074,True
281,P0281,Élelmiszer,4714,True
282,P0282,Papír-írószer,635,True
283,P0283,Élelmiszer,2661,True
284,P0284,Elektronika,52673,True
285,P0285,Elektronika,60565,True
286,P0286,Papír-írószer,3323,True
287,P0287,Ruházat,37356,True
288,P0288,Ital,1175,True
289,P0289,Higiénia,516,True
290,P0290,Ital,1475,True
291,P0291,Ital,2166,True
292,P0292,Higiénia,4951,True
293,P0293,Ruházat,39810,True
294,P0294,Ital,2570,False
295,P0295,Elektronika,64182,False
296,P0296,Háztartás,1631,True
297,P0297,Ruházat,6613,True
298,P0298,Elektronika,37221,True
299,P0299,Ital,2191,True
300,P0300,Papír-írószer,926,True
301,P0301,Ital,220,False
302,P0302,Ital,2861,True
303,P0303,Háztartás,10640,True
304,P0304,Elektronika,38209,True
305,P0305,Elektronika,26629,True
306,P0306,Elektronika,17458,True
307,P0307,Higiénia,360,True
308,P0308,Ital,1363,True
309,P0309,Papír-írószer,1496,True
310,P0310,Ital,222,True
311,P0311,Élelmiszer,3103,True
312,P0312,Elektronika,99310,True
313,P0313,Élelmiszer,4707,False
314,P0314,Háztartás,2518,True
315,P0315,Ital,789,True
316,P0316,Háztartás,11160,False
317,P0317,Ital,319,True
318,P0318,Ital,1189,True
319,P0319,Ruházat,27479,True
320,P0320,Ital,554,False
321,P0321,Háztartás,5212,True
322,P0322,Ruházat,12972,True
323,P0323,Ruházat,20180,True
324,P0324,Papír-írószer,2322,True
325,P0325,Ruházat,42496,True
326,P0326,Higiénia,5661,True
327,P0327,Élelmiszer,2571,True
328,P0328,Ital,440,True
329,P0329,Papír-írószer,461,True
330,P0330,Élelmiszer,3166,False
331,P0331,Papír-írószer,270,True
332,P0332,Papír-írószer,2317,True
333,P0333,Ruházat,39458,True
334,P0334,Elektronika,93763,True
335,P0335,Elektronika,72973,True
336,P0336,Háztartás,8897,True
337,P0337,Higiénia,1430,True
338,P0338,Ital,823,True
339,P0339,Ital,1697,True
340,P0340,Élelmiszer,3970,True
341,P0341,Papír-írószer,782,True
342,P0342,Élelmiszer,1617,True
343,P0343,Higiénia,2063,True
344,P0344,Elektronika,26813,True
345,P0345,Higiénia,6006,True
346,P0346,Ital,600,True
347,P0347,Elektronika,49847,True
348,P0348,Higiénia,7628,True
349,P0349,Elektronika,71051,True
350,P0350,Ruházat,8099,True
351,P0351,Elektronika,54956,True
352,P0352,Ruházat,23686,True
353,P0353,Elektronika,28459,True
354,P0354,Ruházat,49548,True
355,P0355,Ital,1102,True
356,P0356,Papír-írószer,4320,True
357,P0357,Papír-írószer,1186,True
358,P0358,Ital,2318,True
359,P0359,Ruházat,6525,True
360,P0360,Élelmiszer,4944,False
361,P0361,Ruházat,28994,True
362,P0362,Ital,1829,True
363,P0363,Higiénia,9709,True
364,P0364,Ruházat,16944,True
365,P0365,Higiénia,7384,True
366,P0366,Ital,2243,True
367,P0367,Háztartás,8499,True
368,P0368,Háztartás,13099,True
369,P0369,Higiénia,3768,True
370,P0370,Ruházat,36788,True
371,P0371,Elektronika,7250,True
372,P0372,Ital,2575,True
373,P0373,Papír-írószer,3052,True
374,P0374,Papír-írószer,1204,True
375,P0375,Elektronika,44807,True
376,P0376,Ruházat,43137,False
377,P0377,Papír-írószer,524,True
378,P0378,Ital,989,True
379,P0379,Higiénia,3655,True
380,P0380,Háztartás,10746,True
381,P0381,Háztartás,11280,True
382,P0382,Ruházat,27984,True
383,P0383,Ruházat,39301,True
384,P0384,Ital,1011,True
385,P0385,Elektronika,14937,True
386,P0386,Háztartás,2597,True
387,P0387,Elektronika,79695,True
388,P0388,Elektronika,99757,True
389,P0389,Ruházat,44881,False
390,P0390,Papír-írószer,4222,True
391,P0391,Élelmiszer,218,True
392,P0392,Papír-írószer,2491,True
393,P0393,Háztartás,13096,True
394,P0394,Elektronika,64566,True
395,P0395,Ruházat,21886,True
396,P0396,Ital,1825,True
397,P0397,Elektronika,39622,True
398,P0398,Háztartás,2335,True
399,P0399,Higiénia,6178,True
400,P0400,Élelmiszer,493,True
